version,comment,id,en,zh 中文,ja 日语,vi 越南语,my 缅甸语
1.0.0,求评论标题,alert_review_title,Do you like this game?,喜欢这个应用吗？,このゲームを気に入っていただけましたか？,,
1.0.0,求评论消息,alert_review_msg,If you like  {{appname}} ，would you like helping us to leave a review?,如果你喜欢 {{appname}}，请留下宝贵的建议吧！,{{appname}}を気に入っていただけたら、レビューを投稿してください。,,
1.0.0,请求权限失败弹窗标题,alert_permission_deny_title,Looks like you declined access to your photo library,看起来你拒绝了使用相册的权限,ユーザーはご自身のフォトライブラリーへのアクセスを拒否したようです,,
1.0.0,请求权限失败弹窗消息,alert_permission_deny_msg,To save photos you need to allow it in the settings,要保存作品到相册你需要去设置里允许,写真を保存するには設定で許可する必要があります,,
1.0.0,请求权限失败弹窗按钮,alert_permission_btn_go,Go settings,去设置,設定へ,,
1.0.0,视频广告未就绪弹窗,alert_ads_notready_msg,Video not ready\nPlease try again later,没请求到视频广告\n请稍后再试,動画を準備できません\nあとでやり直してください,,
1.0.0,弹窗通用按钮 取消,alert_btn_cancel,Cancel,取消,ANNULER,ABBRECHEN,CANCELAR,ОТМЕНА,キャンセル,CANCELAR,रद्दकरें,BATAL
1.0.0,弹窗通用按钮 Later,alert_btn_later,Later,稍后,PLUS TARD,SPÄTER,LUEGO,ПОЗЖЕ,後で,MAIS TARDE,बादमें,NANTI
2.0.0,网络错误/网络缓慢,toast_network_error,Your internet seems running slow,网络有点慢,回線速度が低下している可能性があります,,
2.2.0,退出 App 提示,toast_exit_warning,Tap again to exit app,再次点击返回以退出 App,もう一度タップしてアプリを終了,,
,设置页面订阅按钮,setting_subscription,Subscription,订阅,サブスクリプション,,
,设置页面恢复购买按钮,setting_restore,Restore,恢复购买,復元,,
,设置页面去评论按钮,setting_reviewapp,Rate this app,去评论,このアプリを評価する,,
,设置页面震动按钮,setting_vibration,Vibration,震动,振動,,
,周订阅项目内灰色文案，安卓版本没有,shop_offering_week_desc,"3-day free trial,\nthen {{price}}\nper week,\nautorenewable.",3天免费试用\n之后{{price}}\n每周，\n自动续订,3日間無料でお試し。\nその後は{{price}}\n週で、\n自動更新。,,
,周订阅项目内灰色文案，安卓版本没有,shop_offering_week_btn,3 day FREE trial,3天免费试用,3日間無料でお試し,,
,订阅页面选项内文案,shop_offering_month_title,1\nMONTH,1\n个月,1\n月,,
,订阅页面选项内文案,shop_offering_month_desc,{{price}}/month,{{price}}/月,{{price}}/月,,
,订阅页面选项内文案,shop_offering_annual_title,12\nMONTH,12\n个月,12\n月,,
,订阅页面选项内文案,shop_offering_annual_desc,{{price}}/year,{{price}}/年,{{price}}/年,,
,订阅页面按钮文案,shop_take_offering,CONTINUE,继续,続行,,
,周订阅上面的彩色渐变区域内文案,shop_offering_pop,MOST POPULAR,最受欢迎,一番人気,,
,订阅页面图标下面的标题,shop_premium_name,JTextTrans,解锁所有内容,プレミアム,,
,订阅页面恢复购买按钮,shop_restore,Restore,恢复购买,復元,,
,订阅页面下方用户条款,shop_tos,TOS,服务条款,サービス利用規約,,
,订阅页面下方隐私协议,shop_privacy,Privacy,隐私政策,プライバシー,,
,恢复购买成功通知,toast_restore_success,Your purchase has been restored,恢复购买成功,ユーザーの購入は復元されました,,
,没有可恢复的有效订阅项时弹出通知,toast_restore_noactive,No active subscription,没有有效的订阅,有効なサブスクリプションがありません,,
,已在订阅状态的用户点击恢复购买时通知,toast_restore_noneed,You already have a subscription,你已经在订阅中,すでにサブスクリプションしています,,
,恢复购买失败时弹出通知,toast_restore_failure,Failed to restore history purchase,恢复购买失败,購入履歴を復元できませんでした,,
,订阅成功时弹出通知,toast_subscription_success,Subscribed successfully,订阅成功！,サブスクリプションに成功しました,,
,订阅失败时弹出通知,toast_purchase_failure,Failed to make the purchase,订阅失败,購入できませんでした,,
,订阅页订阅按钮下面可滑动文案,shop_premium_detail,"JTextTrans: After free trial,JTextTrans weekly subscription is {{weekprice}}, monthly subscription is {{monthprice}}, yearly subscription is {{annualprice}}, automatically renews unless turned off in Account Settings at least 24h before current period ends. Payment is charged to your iTunes account. Unused portion of free trial is forfeited after purchase.",关于订阅: 试用期过后，开心涂色每周订阅{{weekprice}}，每月订阅{{monthprice}}，每年订阅{{annualprice}}。除非在当前订阅期结束前提前24小时在账户设置中关闭续订，否则将自动续期，费用将从iTunes账户扣除。用户订阅过期后，免费试用期的任何需要订阅才能使用的部分将被没收。, 無料体験の期間終了後、週間サブスクリプションは{{weekprice}}、月間サブスクリプションは{{monthprice}}、年間サブスクリプションは{{annualprice}}となります。有効期間が終了する24時間前までにアカウント設定でオフにしない限り自動で更新されます。決済はユーザーのiTunesアカウントに請求されます。無料体験版の未使用の部分は購入後に無効となります。,,
,启动订阅页的详情描述,shop_premium_desc,"TRY 3 DAY FOR FREE\nThen {{price}} per {{date}}\nautorenewable, cancel anytime",3天免费试用\n之后{{price}}/ {{date}}\n自动续订，随时取消,3日間無料で体験\nその後は{{price}} {{date}} \n自動更新，いつでもキャンセル可,,
,安卓周订阅页的详情描述,shop_premium_desc_android,"{{price}} per {{date}}\nautorenewable, cancel anytime",{{price}}/ {{date}}\n自动续订，随时取消,{{price}} {{date}} \n自動更新，いつでもキャンセル可,,
,启动订阅页的订阅按钮文案,shop_premium_trial,Start Plan With Trial,开始试用,体験版でスタート,,
,请求相册权限时,permission_camera,Save artworks to camera roll,保存图片到相册,アートワークをカメラロールに保存する,,
,周文案,premium_week,WEEK,周,週,,
,月文案,premium_month,MONTH,月,月,,
,年文案,premium_year,YEAR,年,年,,
,订阅页面按钮文案和轮播页按钮文案,shop_premium_sub,SUBSCRIBE NOW,现在订阅,今すぐ購読する,,
,Tracking Model Title,tracking_title,App remains {{free}},请让我们的 APP 继续 {{free}},アプリは{{free}}のまま,,
,Tracking Model FREE,tracking_free,FREE,免费,無料,,
,Tracking Model subtitle,tracking_subtitle,By allowing tracking. we’ll be able to better tailor ads served to you on this app.,如果允许追踪，我们可以给您量身定制广告，摆脱莫名广告困扰,追跡を許可することで、このアプリで提供される広告をより適切に調整することができます。,,
,Tracking Model not alow text,tracking_no_allow,Ask App Not to Track,不允许追踪,アプリに追跡しないように依頼する,,
,Tracking Model not alow text,tracking_allow,Allow Tracking,可以追踪,追跡を許可する,,
,Later String,button_later,Later,稍后,後で,,
,go to setting text,go_to_settings,go to settings,前往设置,設定に移る,,
,Privacy Policy,login_privacy,Privacy Policy,隐私策略,個人情報保護方針,,
,Terms of Service,login_term,Terms of Service,服务条款,利用規約,,
,Logout,settings_logout,Logout,登出,ログアウト,,
c,Log in to sync data,login_title,Log in to sync data,登陆后可以同步数据,ログインしてデータを同期する,,
,Log in then your data will never be lost,login_subtitle,Log in then your data will never be lost,保持数据同步,ログインすれば、あなたのデータが失われることはありません。,,
,Welcome on board,wel_title,Welcome on board,感谢下载,歓迎,,
,I understand,wel_ok,I understand,了解,了解しました,,